input npy dir: truncate_500_5808/NPY/
cubic shape: (10, 20, 20)
Training examples: 5803, high 1793, low 1793
Testing examples: 645, high 223, low 223
epoch: 80
batch size: 32
keep prob: 1.000000
start time: 2018-08-18 12:04:16
accuracy is 0.784496, loss is 0.572591, epoch 0 time, consumed 14.64 seconds
accuracy is 0.813953, loss is 0.462348, epoch 1 time, consumed 12.53 seconds
accuracy is 0.832558, loss is 0.421141, epoch 2 time, consumed 12.73 seconds
accuracy is 0.848062, loss is 0.391416, epoch 3 time, consumed 12.71 seconds
accuracy is 0.840310, loss is 0.384141, epoch 4 time, consumed 12.22 seconds
accuracy is 0.851163, loss is 0.370204, epoch 5 time, consumed 12.47 seconds
accuracy is 0.866667, loss is 0.364330, epoch 6 time, consumed 12.53 seconds
accuracy is 0.857364, loss is 0.358927, epoch 7 time, consumed 12.52 seconds
accuracy is 0.872868, loss is 0.344343, epoch 8 time, consumed 12.53 seconds
accuracy is 0.862015, loss is 0.374391, epoch 9 time, consumed 12.29 seconds
accuracy is 0.849612, loss is 0.361820, epoch 10 time, consumed 12.69 seconds
accuracy is 0.868217, loss is 0.356925, epoch 11 time, consumed 12.48 seconds
accuracy is 0.851163, loss is 0.368768, epoch 12 time, consumed 12.18 seconds
accuracy is 0.866667, loss is 0.344129, epoch 13 time, consumed 12.48 seconds
accuracy is 0.855814, loss is 0.344885, epoch 14 time, consumed 12.31 seconds
accuracy is 0.855814, loss is 0.367029, epoch 15 time, consumed 12.37 seconds
accuracy is 0.872868, loss is 0.359336, epoch 16 time, consumed 12.47 seconds
accuracy is 0.875969, loss is 0.337168, epoch 17 time, consumed 12.50 seconds
accuracy is 0.865116, loss is 0.372847, epoch 18 time, consumed 12.53 seconds
accuracy is 0.854264, loss is 0.401283, epoch 19 time, consumed 12.63 seconds
accuracy is 0.844961, loss is 0.408830, epoch 20 time, consumed 12.55 seconds
accuracy is 0.863566, loss is 0.408532, epoch 21 time, consumed 12.26 seconds
accuracy is 0.858915, loss is 0.403300, epoch 22 time, consumed 12.53 seconds
accuracy is 0.852713, loss is 0.468065, epoch 23 time, consumed 12.67 seconds
accuracy is 0.857364, loss is 0.497113, epoch 24 time, consumed 12.51 seconds
accuracy is 0.874419, loss is 0.460797, epoch 25 time, consumed 12.37 seconds
accuracy is 0.875969, loss is 0.499403, epoch 26 time, consumed 12.44 seconds
accuracy is 0.862015, loss is 0.465879, epoch 27 time, consumed 12.52 seconds
accuracy is 0.888372, loss is 0.545617, epoch 28 time, consumed 12.49 seconds
accuracy is 0.875969, loss is 0.602548, epoch 29 time, consumed 12.64 seconds
accuracy is 0.841860, loss is 0.676648, epoch 30 time, consumed 12.72 seconds
accuracy is 0.869767, loss is 0.685529, epoch 31 time, consumed 12.42 seconds
accuracy is 0.874419, loss is 0.669892, epoch 32 time, consumed 12.94 seconds
accuracy is 0.888372, loss is 0.776729, epoch 33 time, consumed 12.68 seconds
accuracy is 0.869767, loss is 0.547657, epoch 34 time, consumed 12.30 seconds
accuracy is 0.866667, loss is 0.671729, epoch 35 time, consumed 12.65 seconds
